Model,Production_Year,Number_of_Engines,Engine_Type,Capacity,Range_km,Fuel_Consumption_Lph,Hourly_Maintenance_Cost,Age,Sales_Region,Price_USD,Cost_Per_Seat,Maintenance_Cost_Per_Seat,Fuel_Efficiency,Range_Efficiency,Aircraft_Size,Age_Category
Bombardier CRJ200,1987,2,Turbofan,50,3000,14.36,2185.43,36,Asya,12857083.91,257141.6782,43.7086,0.2872,208.91364902506965,Medium,Old
Bombardier CRJ200,1997,2,Turbofan,50,3000,4.03,1202.08,26,Avrupa,13914058.55,278281.17100000003,24.0416,0.0806,744.4168734491315,Medium,Old
Airbus A320,1988,2,Turbofan,180,6300,13.26,761.38,35,Avustralya,90735695.86,504087.1992222222,4.229888888888889,0.07366666666666667,475.1131221719457,Large,Old
Boeing 737,2023,2,Turbofan,162,5700,14.61,592.63,0,Avustralya,136659689.37,843578.3294444445,3.65820987654321,0.09018518518518519,390.14373716632446,Large,New
Cessna 172,1985,1,Piston,4,1285,18.49,4245.99,38,Güney Amerika,203798.1,50949.525,1061.4975,4.6225,69.49702541914549,Small,Old
Airbus A350,1982,2,Turbofan,350,14800,8.82,1869.09,41,Asya,354976612.82,1014218.8937714285,5.340257142857142,0.0252,1678.0045351473923,Very Large,Old
Boeing 737,1993,2,Turbofan,162,5700,5.79,2443.75,30,Avrupa,57032326.56,352051.39851851854,15.084876543209877,0.03574074074074074,984.4559585492228,Large,Old
Cessna 172,2018,1,Piston,4,1285,24.65,1814.65,5,Asya,396750.44,99187.61,453.6625,6.1625,52.12981744421907,Small,New
Bombardier CRJ200,2014,2,Turbofan,50,3000,2.6,3165.87,9,Afrika,16981571.17,339631.4234,63.3174,0.052000000000000005,1153.8461538461538,Medium,Mid-Age
Airbus A320,2008,2,Turbofan,180,6300,4.22,3233.95,15,Güney Amerika,103115871.84,572865.9546666667,17.966388888888886,0.02344444444444444,1492.8909952606637,Large,Mid-Age
Boeing 777,1980,2,Turbofan,396,15600,7.72,3579.05,43,Avrupa,385983616.56,974706.1024242424,9.03800505050505,0.019494949494949496,2020.7253886010362,Very Large,Old
Bombardier CRJ200,2007,2,Turbofan,50,3000,8.44,1049.17,16,Kuzey Amerika,17772783.25,355455.665,20.983400000000003,0.16879999999999998,355.45023696682466,Medium,Old
Boeing 777,1989,2,Turbofan,396,15600,8.76,1902.7,34,Avrupa,349042400.5,881420.2032828283,4.80479797979798,0.02212121212121212,1780.8219178082193,Very Large,Old
Boeing 777,1986,2,Turbofan,396,15600,4.4,2960.2,37,Asya,426940813.36,1078133.367070707,7.475252525252524,0.011111111111111112,3545.454545454545,Very Large,Old
Airbus A350,1986,2,Turbofan,350,14800,4.55,898.22,37,Kuzey Amerika,378696823.87,1081990.9253428571,2.5663428571428573,0.013,3252.747252747253,Very Large,Old
Boeing 777,2018,2,Turbofan,396,15600,6.23,703.52,5,Kuzey Amerika,609835687.97,1539989.1110353535,1.7765656565656565,0.015732323232323233,2504.0128410914926,Very Large,New
Boeing 737,2009,2,Turbofan,162,5700,6.64,4229.32,14,Güney Amerika,84803923.37,523481.0084567902,26.10691358024691,0.04098765432098765,858.4337349397591,Large,Mid-Age
Boeing 737,2004,2,Turbofan,162,5700,9.06,1764.21,19,Asya,81240277.67,501483.19549382717,10.890185185185185,0.05592592592592593,629.1390728476821,Large,Old
Cessna 172,2003,1,Piston,4,1285,17.95,3975.1,20,Güney Amerika,282880.8,70720.2,993.775,4.4875,71.58774373259054,Small,Old
Airbus A320,1984,2,Turbofan,180,6300,2.96,3970.72,39,Asya,85658440.17,475880.2231666667,22.059555555555555,0.016444444444444446,2128.3783783783783,Large,Old
Bombardier CRJ200,1994,2,Turbofan,50,3000,3.51,2113.1,29,Kuzey Amerika,12475000.59,249500.0118,42.262,0.0702,854.7008547008547,Medium,Old
Boeing 737,1994,2,Turbofan,162,5700,2.83,1989.04,29,Asya,69650507.55,429941.40462962963,12.278024691358025,0.017469135802469136,2014.1342756183744,Large,Old
Airbus A350,1997,2,Turbofan,350,14800,6.23,1899.42,26,Afrika,402568177.04,1150194.7915428572,5.426914285714286,0.0178,2375.601926163724,Very Large,Old
Bombardier CRJ200,2003,2,Turbofan,50,3000,8.14,4492.46,20,Avrupa,16455191.8,329103.836,89.8492,0.1628,368.55036855036855,Medium,Old
Boeing 777,2002,2,Turbofan,396,15600,11.27,1038.17,21,Avrupa,477861066.66,1206719.8653030305,2.6216414141414144,0.02845959595959596,1384.2058562555458,Very Large,Old
Bombardier CRJ200,1997,2,Turbofan,50,3000,8.42,3969.35,26,Avustralya,13932179.15,278643.583,79.387,0.1684,356.29453681710214,Medium,Old
Bombardier CRJ200,2021,2,Turbofan,50,3000,7.56,2852.3,2,Asya,23385809.92,467716.19840000005,57.04600000000001,0.1512,396.82539682539687,Medium,New
Cessna 172,1995,1,Piston,4,1285,19.97,4584.05,28,Avrupa,245284.2,61321.05,1146.0125,4.9925,64.3465197796695,Small,Old
Airbus A350,2004,2,Turbofan,350,14800,3.0,1529.59,19,Kuzey Amerika,437745351.34,1250701.0038285714,4.370257142857143,0.008571428571428572,4933.333333333333,Very Large,Old
Bombardier CRJ200,2015,2,Turbofan,50,3000,4.1,1803.88,8,Avrupa,22142984.74,442859.69479999994,36.077600000000004,0.08199999999999999,731.7073170731708,Medium,Mid-Age
Bombardier CRJ200,2000,2,Turbofan,50,3000,4.43,4116.52,23,Asya,13469724.32,269394.4864,82.33040000000001,0.0886,677.2009029345373,Medium,Old
Airbus A320,1982,2,Turbofan,180,6300,9.01,4516.52,41,Kuzey Amerika,72859502.28,404775.01266666665,25.09177777777778,0.050055555555555555,699.2230854605993,Large,Old
Airbus A350,1997,2,Turbofan,350,14800,7.55,1525.71,26,Asya,360117097.64,1028905.9932571428,4.359171428571429,0.02157142857142857,1960.2649006622516,Very Large,Old
Airbus A320,2016,2,Turbofan,180,6300,13.19,4181.07,7,Avustralya,134849581.51,749164.3417222222,23.228166666666667,0.07327777777777778,477.63457164518576,Large,Mid-Age
Boeing 777,1993,2,Turbofan,396,15600,4.89,2378.35,30,Avustralya,388254065.98,980439.5605555556,6.005934343434343,0.012348484848484848,3190.184049079755,Very Large,Old
Airbus A350,2005,2,Turbofan,350,14800,6.39,1039.39,18,Avustralya,468878805.55,1339653.7301428572,2.9696857142857147,0.018257142857142857,2316.1189358372458,Very Large,Old
Airbus A350,1989,2,Turbofan,350,14800,11.14,2834.56,34,Kuzey Amerika,387359980.08,1106742.8002285713,8.098742857142858,0.03182857142857143,1328.5457809694792,Very Large,Old
Airbus A320,1995,2,Turbofan,180,6300,14.63,2136.33,28,Avustralya,63325195.66,351806.64255555556,11.8685,0.08127777777777778,430.62200956937795,Large,Old
Cessna 172,2014,1,Piston,4,1285,11.48,1781.78,9,Kuzey Amerika,349541.06,87385.265,445.445,2.87,111.93379790940766,Small,Mid-Age
